&a / °	I1 / %
-2.421	2.1
-2.426	2.1
-2.432	2.2
-2.437	2.3
-2.442	2.4
-2.448	2.6
-2.453	2.9
-2.458	3.3
-2.464	3.7
-2.469	4.5
-2.474	5.7
-2.480	7.2
-2.485	9.2
-2.490	11.5
-2.496	13.9
-2.501	15.3
-2.506	15.7
-2.512	14.6
-2.517	12.4
-2.522	9.9
-2.528	7.5
-2.533	5.9
-2.538	4.7
-2.544	3.9
-2.549	3.2
-2.554	2.8
-2.560	2.6
-2.565	2.3
-2.570	2.2
-2.576	2.0
-2.581	2.0
-2.586	2.0
-2.592	2.1
-2.597	2.3
-2.602	2.4
-2.608	2.8
-2.613	3.2
-2.619	3.6
-2.624	4.4
-2.629	5.2
-2.635	6.8
-2.640	8.8
-2.645	11.0
-2.651	12.8
-2.656	13.6
-2.661	12.9
-2.667	10.9
-2.672	8.5
-2.677	6.4
-2.683	4.8
-2.688	3.8
-2.693	3.1
-2.699	2.6
-2.704	2.2
-2.709	2.0
-2.715	1.9
-2.720	1.9
-2.725	1.9
-2.731	1.9
-2.736	2.0
-2.741	2.0
-2.747	2.0
-2.752	2.4
-2.757	2.6
-2.763	3.0
-2.768	3.5
-2.773	4.3
-2.779	5.5
-2.784	7.1
-2.789	8.8
-2.795	10.4
-2.800	10.8
-2.805	10.0
-2.811	8.0
-2.816	6.0
-2.821	4.5
-2.827	3.6
-2.832	2.8
-2.837	2.4
-2.843	2.0
-2.848	1.6
-2.853	1.6
-2.859	1.5
-2.864	1.3
-2.869	1.3
-2.875	1.3
-2.880	1.3
-2.885	1.4
-2.891	1.6
-2.896	1.9
-2.901	2.3
-2.907	2.8
-2.912	3.6
-2.917	4.4
-2.923	5.7
-2.928	7.3
-2.933	8.4
-2.939	8.2
-2.944	7.0
-2.949	5.4
-2.955	4.3
-2.960	3.1
-2.965	2.4
-2.971	1.9
-2.976	1.5
-2.981	1.2
-2.987	1.2
-2.992	1.2
-2.997	1.2
-3.003	1.2
-3.008	1.2
-3.013	1.2
-3.019	1.2
-3.024	1.2
-3.029	1.6
-3.035	1.9
-3.040	2.4
-3.045	2.8
-3.051	3.6
-3.056	4.8
-3.061	6.0
-3.067	6.4
-3.072	5.6
-3.077	4.4
-3.083	3.3
-3.088	2.5
-3.093	1.9
-3.099	1.5
-3.104	1.2
-3.109	0.9
-3.115	0.8
-3.120	0.8
-3.125	0.8
-3.131	0.8
-3.136	0.8
-3.141	0.8
-3.147	0.8
-3.152	0.8
-3.157	1.2
-3.163	1.5
-3.168	1.9
-3.173	2.4
-3.179	3.2
-3.184	3.8
-3.189	4.3
-3.195	4.1
-3.200	3.4
-3.205	2.6
-3.211	1.9
-3.216	1.5
-3.221	1.2
-3.227	0.8
-3.232	0.8
-3.237	0.8
-3.243	0.8
-3.248	0.8
-3.253	0.8
-3.259	0.7
-3.264	0.7
-3.269	0.7
-3.275	0.7
-3.280	0.7
-3.285	0.8
-3.291	1.0
-3.296	1.4
-3.301	2.0
-3.306	2.4
-3.312	2.8
-3.317	2.6
-3.322	2.0
-3.328	1.6
-3.333	1.2
-3.338	0.8
-3.344	0.8
-3.349	0.7
-3.354	0.5
-3.360	0.5
-3.365	0.4
-3.370	0.4
-3.376	0.4
-3.381	0.4
-3.386	0.4
-3.392	0.4
